Voluntário: 	Sessão: 
P1	P2	I1	I2
50	250	8966	-31482	
50	250	9734	-29434	
50	250	9734	-29434	
50	250	9222	-29946	
50	250	8710	-30458	
50	250	8710	-31226	
50	250	9478	-31738	
50	250	9478	-30202	
50	250	9478	-29946	
50	250	9478	-31226	
50	250	8710	-30970	
50	250	8966	-31482	
50	250	9734	-29434	
50	250	9734	-29434	
50	250	9222	-29946	
50	250	8710	-30458	
50	250	8710	-31226	
50	250	9478	-31738	
50	250	9478	-30202	
50	250	12038	-28410	
50	250	12038	-28410	
50	250	11782	-27642	
50	250	12038	-28922	
50	250	11270	-28666	
50	250	12294	-28410	
50	250	11014	-29690	
250	250	11014	-29178	
250	250	9478	-29946	
250	250	11782	-29178	
50	250	11526	-28154	
50	250	11270	-30202	
50	250	10502	-29178	
250	250	11270	-29434	
250	250	11270	-29434	
250	50	10758	-30458	
250	50	8710	-31226	
250	50	9222	-30458	
250	50	9990	-30970	
50	50	10502	-28410	
50	50	11014	-29178	
50	250	9990	-28922	
50	50	10758	-29434	
250	250	11270	-29434	
50	50	12038	-28410	
50	50	11782	-28666	
50	50	10246	-29178	
50	50	10502	-28922	
250	50	8966	-30458	
250	50	9734	-30458	
250	50	10246	-29434	
250	50	9222	-29690	
250	50	11526	-28922	
250	50	9734	-29178	
250	50	10246	-30202	
250	50	10246	-29434	
250	50	9990	-29946	
50	50	9990	-29434	
50	50	9990	-29946	
50	250	10758	-29946	
50	250	10246	-31482	
50	250	9990	-30970	
50	250	8454	-31994	
FIM DA COLETA
