Voluntário: robson	Sessão: osdkofsosd
P1	P2	I1	I2
0	0	0	0	
1	1	2479	3579	
2	2	3409	2998	
3	3	3785	3091	
4	4	4001	4090	
5	4	4001	4090	
6	6	3119	3302	
7	7	4055	2447	
8	8	4040	2557	
9	8	4040	2557	
10	10	3796	2879	
11	11	3338	2422	
12	12	3021	4082	
13	12	3021	4082	
14	14	2634	3480	
15	15	2124	3713	
16	16	3863	2063	
17	16	3863	2063	
18	18	3800	3419	
19	19	3456	2770	
20	20	3432	3085	
21	20	3432	3085	
22	22	3143	3592	
23	23	3033	3902	
24	24	3196	3794	
25	24	3196	3794	
26	26	3409	3647	
27	27	2794	3145	
28	28	3416	3578	
29	28	3416	3578	
30	30	3145	2712	
31	31	3950	2131	
32	32	3752	3501	
33	32	3752	3501	
34	34	2202	3714	
35	35	2740	2638	
36	36	3951	2076	
37	36	3951	2076	
38	38	3616	3394	
39	39	2074	3110	
40	40	3408	3153	
41	40	3408	3153	
42	42	3315	2799	
43	43	3816	3281	
44	44	3045	2465	
45	44	3045	2465	
46	46	2062	3345	
47	47	4038	2887	
48	48	2690	2691	
49	48	2690	2691	
50	50	3247	3297	
51	51	2636	3303	
52	52	2302	3069	
53	53	2302	3069	
54	54	2907	2673	
55	55	2147	3349	
56	56	3578	2104	
57	57	3578	2104	
58	58	2149	3815	
59	59	2520	2282	
60	60	3745	3497	
61	61	3745	3497	
62	62	3780	2446	
63	63	3278	2855	
64	64	2122	3289	
65	65	2122	3289	
66	66	3033	2264	
67	67	3572	2676	
68	68	3424	2243	
69	69	3424	2243	
70	70	3249	3048	
71	71	2066	2403	
72	72	2824	2177	
73	73	2824	2177	
74	74	2981	3211	
75	75	3789	3836	
76	76	4044	3315	
77	77	4044	3315	
78	78	2215	3845	
79	79	2533	3374	
80	80	3997	2956	
81	81	3842	2956	
82	82	3933	3149	
83	83	2190	2197	
84	84	2917	3268	
85	85	3067	3268	
86	86	2758	2661	
87	87	2605	3266	
88	88	3995	3854	
89	89	3853	3854	
90	90	3659	3116	
91	91	3426	3671	
92	92	2582	3411	
93	93	2753	3411	
94	94	2800	2600	
95	95	3730	3969	
96	96	3627	2792	
97	97	3617	2792	
98	98	3211	3637	
99	99	2894	3553	
100	100	2615	2740	
101	101	3645	2740	
102	102	3572	2989	
103	103	2061	2517	
104	104	2110	2792	
105	105	2700	2792	
106	106	3379	3677	
107	107	2840	3515	
108	108	2812	4022	
109	109	2634	4022	
110	110	2934	3310	
111	111	3755	2290	
112	112	2941	2306	
113	113	4041	2351	
114	114	2584	3516	
115	115	3154	3786	
116	116	2731	2332	
117	117	3639	2483	
118	118	2465	3221	
119	119	2191	3964	
120	120	2384	2436	
121	121	3303	2397	
122	122	2249	3992	
123	123	2110	2156	
124	124	3157	3388	
125	125	3758	3432	
126	126	2564	2352	
127	127	3098	3259	
128	128	2984	2134	
129	129	3439	3236	
130	130	3740	2596	
131	131	2627	3634	
132	132	2127	4025	
133	133	3101	2899	
134	134	3699	2945	
135	135	3952	3870	
136	136	3112	2847	
137	137	3718	2094	
138	138	2750	3726	
139	139	3696	3631	
140	140	3339	2916	
141	141	4088	3523	
142	142	2322	2298	
143	143	2954	2074	
144	144	2605	3824	
145	145	3362	2286	
146	146	2458	3946	
147	147	2250	3307	
148	148	2393	3233	
149	149	2314	3292	
150	150	2222	3423	
151	151	2361	3972	
152	152	2536	3833	
153	153	2531	2138	
154	154	2321	2311	
155	155	2228	3499	
156	156	4062	3578	
157	157	3858	2580	
158	158	2323	3955	
159	159	2256	3431	
160	160	3970	3418	
161	161	3078	3842	
162	162	3397	3246	
163	163	2943	3639	
164	164	3057	3809	
165	165	2874	2777	
166	166	3881	2121	
167	167	2355	3705	
168	168	2327	2405	
169	169	2161	2073	
170	170	4086	3853	
171	171	3808	2474	
172	172	3295	3016	
173	173	2152	2223	
174	174	2384	2216	
175	175	3915	2213	
176	176	2204	2622	
177	177	2415	3065	
178	178	2786	2994	
179	179	2781	4015	
180	180	3630	2926	
181	181	3243	3002	
182	182	2475	3264	
183	183	3052	2574	
184	184	3895	3135	
185	185	3775	3363	
186	186	2197	3370	
187	187	2879	3584	
188	188	3673	3863	
189	189	2570	2594	
190	190	2355	2510	
191	191	3386	3735	
192	192	3041	3172	
193	193	3691	3565	
194	194	3447	3818	
195	195	2906	3394	
196	196	3512	2702	
197	197	2148	4080	
198	197	2148	4080	
199	199	2671	3758	
200	200	3366	2882	
201	201	2415	3886	
202	201	2415	3886	
203	203	2517	3718	
204	204	3783	2216	
205	205	2381	3253	
206	205	2381	3253	
207	207	2226	3964	
208	208	2448	2723	
209	209	2484	3042	
210	209	2484	3042	
211	211	3250	3880	
212	212	2403	3708	
213	213	4030	2178	
214	213	4030	2178	
215	215	2093	2065	
216	216	3352	3592	
217	217	3341	2759	
218	217	3341	2759	
219	219	3310	3049	
220	220	3467	3784	
221	221	2628	3927	
222	221	2628	3927	
223	223	3358	3158	
224	224	4027	3944	
225	225	2797	3822	
226	225	2797	3822	
227	227	2411	2221	
228	228	3686	3239	
229	229	3436	3574	
230	229	3436	3574	
231	231	2282	2612	
232	232	3134	3410	
233	233	3492	3718	
234	233	3492	3718	
235	235	2691	2770	
236	236	3704	3837	
237	237	3677	3126	
238	237	3677	3126	
239	239	3361	2995	
240	240	2817	3021	
241	241	3105	2180	
242	241	3105	2180	
243	243	2519	3508	
244	244	2854	4006	
245	245	3688	3112	
246	245	3688	3112	
247	247	2126	3195	
248	248	3482	3771	
249	249	2570	3231	
250	250	2570	3231	
251	251	3593	2764	
252	252	2647	2058	
253	253	3674	3335	
254	254	3674	3335	
255	255	2249	3305	
256	256	2540	3298	
257	257	2119	3441	
258	258	2119	3441	
259	259	3635	2152	
260	260	2749	2365	
261	261	3226	2559	
262	262	3226	2559	
263	263	2332	2607	
264	264	4025	3873	
265	265	3652	4036	
266	266	3652	4036	
267	267	2274	3846	
268	268	2271	3879	
269	269	3769	2648	
270	270	3769	2648	
271	271	3189	2412	
272	272	3150	2479	
273	273	3107	3245	
274	274	3107	3245	
275	275	3072	3530	
276	276	4007	3323	
277	277	3098	4044	
278	278	3098	4044	
279	279	2079	2251	
280	280	3162	2618	
281	281	2550	2475	
282	282	2307	2475	
283	283	3879	2390	
284	284	2746	2363	
285	285	3218	2998	
286	286	3261	2998	
287	287	3438	3155	
288	288	3969	3520	
289	289	2076	2210	
290	290	2062	2210	
291	291	3034	2545	
292	292	4069	3366	
293	293	3906	3867	
294	294	3981	3867	
295	295	3980	3768	
296	296	3340	2920	
297	297	3565	2986	
298	298	2838	2986	
299	299	3964	3360	
300	300	2606	2922	
299	299	2048	2048	
298	298	2048	2048	
297	297	2048	2048	
296	296	2048	2048	
295	295	2048	2048	
294	294	2048	2048	
293	293	2048	2048	
292	292	2048	2048	
291	291	2048	2048	
290	290	2048	2048	
289	289	2048	2048	
288	288	2048	2048	
287	287	2048	2048	
286	286	2048	2048	
285	285	2048	2048	
284	284	2048	2048	
283	283	2048	2048	
282	282	2048	2048	
281	281	2048	2048	
280	280	2048	2048	
279	279	2048	2048	
278	278	2048	2048	
277	277	2048	2048	
276	276	2048	2048	
275	275	2048	2048	
274	274	2048	2048	
273	273	2048	2048	
272	272	2048	2048	
271	271	2048	2048	
270	270	2048	2048	
269	269	2048	2048	
268	268	2048	2048	
267	267	2048	2048	
266	266	2048	2048	
265	265	2048	2048	
264	264	2048	2048	
263	263	2048	2048	
262	262	2048	2048	
261	261	2048	2048	
260	260	2048	2048	
259	259	2048	2048	
258	258	2048	2048	
257	257	2048	2048	
256	256	2048	2048	
255	255	2048	2048	
254	254	2048	2048	
253	253	2048	2048	
252	252	2048	2048	
251	251	2048	2048	
250	250	2048	2048	
249	249	2048	2048	
248	248	2048	2048	
247	247	2048	2048	
246	246	2048	2048	
245	245	2048	2048	
244	244	2048	2048	
243	243	2048	2048	
242	242	2048	2048	
241	241	2048	2048	
240	240	2048	2048	
239	239	2048	2048	
238	238	2048	2048	
237	237	2048	2048	
236	236	2048	2048	
235	235	2048	2048	
234	234	2048	2048	
233	233	2048	2048	
232	232	2048	2048	
231	231	2048	2048	
230	230	2048	2048	
229	229	2048	2048	
228	228	2048	2048	
227	227	2048	2048	
226	226	2048	2048	
225	225	2048	2048	
224	224	2048	2048	
223	223	2048	2048	
222	222	2048	2048	
221	221	2048	2048	
220	220	2048	2048	
219	219	2048	2048	
218	218	2048	2048	
217	217	2048	2048	
216	216	2048	2048	
